investment_start_date,investment_end_date,start_price,end_price,price_ratio,forex_ratio,final_buy_point,total_profit
1996-10-31,2011-10-31,705.27001953125,1253.300048828125,1.777049944163396,0.6633385677118118,76.11104333942173,-2775163.5477438048
1996-11-01,2011-11-01,703.77001953125,1218.280029296875,1.7310769079198873,0.6899383141605865,76.11104333942173,-2738924.958231816
1996-11-04,2011-11-04,706.72998046875,1253.22998046875,1.7732797746000886,0.6853969378846813,76.11104333942173,-2554942.454204127
1996-11-05,2011-11-07,714.1400146484375,1261.1199951171875,1.7659282063028237,0.6838511794609888,76.11104333942173,-2500679.8218556223
1996-11-06,2011-11-07,724.5900268554688,1261.1199951171875,1.7404600510306754,0.6856515958390573,76.11104333942173,-2500679.8218556223
1996-11-07,2011-11-07,727.6500244140625,1261.1199951171875,1.7331408682803244,0.6856515958390573,76.11104333942173,-2500679.8218556223
1996-11-08,2011-11-08,730.8200073242188,1275.9200439453125,1.7458745397746989,0.6987381866088215,76.11104333942173,-2417816.8190406756
1996-11-11,2011-11-11,731.8699951171875,1263.8499755859375,1.7268777023487198,0.6988120816045841,75.59209169506114,-2581355.9242139766
1996-11-12,2011-11-14,729.5599975585938,1251.780029296875,1.7158013507947847,0.6930386864366185,75.59209169506114,-2699139.0705869887
1996-11-13,2011-11-14,731.1300048828125,1251.780029296875,1.7121168888390974,0.6929142279953631,75.59209169506114,-2699139.0705869887
1996-11-14,2011-11-14,735.8800048828125,1251.780029296875,1.7010654196212582,0.6929142279953631,75.59209169506114,-2699139.0705869887
1996-11-15,2011-11-15,737.6199951171875,1257.81005859375,1.7052277147041257,0.6940927533738687,75.59209169506114,-2671290.4318211395
1996-11-18,2011-11-18,737.02001953125,1215.6500244140625,1.6494124883978383,0.6908258449639936,75.59209169506114,-2928057.846529549
1996-11-19,2011-11-21,742.1599731445312,1192.97998046875,1.6074431707952326,0.6886448792459275,75.59209169506114,-3070670.6271997355
1996-11-20,2011-11-21,743.9500122070312,1192.97998046875,1.6035754565412383,0.6890154160705347,75.59209169506114,-3070670.6271997355
1996-11-21,2011-11-21,742.75,1192.97998046875,1.6061662476859644,0.6906876124692767,75.59209169506114,-3070670.6271997355
1996-11-22,2011-11-22,748.72998046875,1188.0400390625,1.5867403069912005,0.6901813210342725,75.59209169506114,-3093885.27521661
1996-11-25,2011-11-25,757.030029296875,1158.6700439453125,1.5305470048810064,0.6925686737959258,75.59209169506114,-3241316.1435386436
1996-11-26,2011-11-28,755.9600219726562,1192.550048828125,1.5775305759108789,0.6909875334744772,75.59209169506114,-2998525.5788629567
1996-11-27,2011-11-28,755.0,1192.550048828125,1.5795364885140728,0.6909875334744772,75.59209169506114,-2998525.5788629567
1996-11-29,2011-11-29,757.02001953125,1195.18994140625,1.5788088961588052,0.6861247731797157,75.59209169506114,-2945622.9884636737
1996-12-02,2011-12-02,756.5599975585938,1244.280029296875,1.644654797124016,0.6789207324405503,75.59209169506114,-2687011.487139702
1996-12-03,2011-12-05,748.280029296875,1257.0799560546875,1.6799592489938677,0.6891438634417875,75.59209169506114,-2580424.1438624533
1996-12-04,2011-12-05,745.0999755859375,1257.0799560546875,1.6871292406983844,0.690667843638246,75.59209169506114,-2580424.1438624533
1996-12-05,2011-12-05,744.3800048828125,1257.0799560546875,1.688761046520304,0.6955902167577255,75.59209169506114,-2580424.1438624533
1996-12-06,2011-12-06,739.5999755859375,1258.469970703125,1.701554911093825,0.6889065831105532,75.59209169506114,-2597715.408892396
1996-12-09,2011-12-09,749.760009765625,1255.18994140625,1.6741222858746794,0.6850088118160078,75.59209169506114,-2629532.5643017646
1996-12-10,2011-12-12,747.5399780273438,1236.469970703125,1.6540519665128826,0.6847110768108067,75.1259519489179,-2790545.025780605
1996-12-11,2011-12-12,740.72998046875,1236.469970703125,1.6692587087141524,0.6875620251609165,75.1259519489179,-2790545.025780605
1996-12-12,2011-12-12,729.2999877929688,1236.469970703125,1.695420254215238,0.6860426181913822,75.1259519489179,-2790545.025780605
1996-12-13,2011-12-13,728.6400146484375,1225.72998046875,1.6822161229508568,0.6845762321941422,75.1259519489179,-2823054.590657035
1996-12-16,2011-12-16,720.97998046875,1219.6600341796875,1.6916697650699224,0.6838868085274672,75.1259519489179,-2867667.387431385
1996-12-17,2011-12-19,726.0399780273438,1205.3499755859375,1.6601702551709105,0.6836232451873046,75.1259519489179,-2954066.284197958
1996-12-18,2011-12-19,731.5399780273438,1205.3499755859375,1.6476884542062356,0.684766341981525,75.1259519489179,-2954066.284197958
1996-12-19,2011-12-19,745.760009765625,1205.3499755859375,1.6162705961730919,0.6824839584304072,75.1259519489179,-2954066.284197958
1996-12-20,2011-12-20,748.8699951171875,1241.300048828125,1.657564139198659,0.6828008939713827,75.1259519489179,-2725267.1321588736
1996-12-23,2011-12-23,746.9199829101562,1265.3299560546875,1.6940636011968748,0.6853134727812243,75.1259519489179,-2570179.029795534
1996-12-24,2011-12-27,751.030029296875,1265.4300537109375,1.6849260407012634,0.6820803998122795,75.1259519489179,-2581950.398961097
1996-12-26,2011-12-27,755.8200073242188,1265.4300537109375,1.6742478916254924,0.6792305070060862,75.1259519489179,-2581950.398961097
1996-12-27,2011-12-27,756.7899780273438,1265.4300537109375,1.6721020236148212,0.677049880948346,75.1259519489179,-2581950.398961097
1996-12-30,2011-12-30,753.8499755859375,1257.5999755859375,1.668236408190443,0.668321847001615,75.1259519489179,-2662902.619461363
1996-12-31,2012-01-03,740.739990234375,1277.06005859375,1.7240328258633368,0.6637618575699359,75.1259519489179,-2619308.6453728555
1997-01-02,2012-01-03,737.010009765625,1277.06005859375,1.7327580923899055,0.6651967080861751,75.1259519489179,-2619308.6453728555
1997-01-03,2012-01-03,748.030029296875,1277.06005859375,1.7072310048757626,0.6608538603647166,75.1259519489179,-2619308.6453728555
1997-01-06,2012-01-06,747.6500244140625,1277.81005859375,1.70910187503194,0.6667617456313293,75.1259519489179,-2593758.7312415317
1997-01-07,2012-01-09,753.22998046875,1280.699951171875,1.7002774509517928,0.6675056660934137,75.1259519489179,-2600196.059484451
1997-01-08,2012-01-09,748.4099731445312,1280.699951171875,1.7112277991043674,0.6638757416927351,75.1259519489179,-2600196.059484451
1997-01-09,2012-01-09,754.8499755859375,1280.699951171875,1.6966284594203727,0.6612501528371562,75.1259519489179,-2600196.059484451
1997-01-10,2012-01-10,759.5,1292.0799560546875,1.7012244319350724,0.6619584894180016,74.7398496457697,-2577640.374959167
1997-01-13,2012-01-13,759.510009765625,1289.0899658203125,1.6972652753030983,0.6591603461182672,74.7398496457697,-2602620.569578871
1997-01-14,2012-01-17,768.8599853515625,1293.6700439453125,1.682582093739447,0.6569180613222196,74.7398496457697,-2572373.7440010905
1997-01-15,2012-01-17,767.2000122070312,1293.6700439453125,1.686222658187617,0.6578744703542445,74.7398496457697,-2572373.7440010905
1997-01-16,2012-01-17,769.75,1293.6700439453125,1.6806366274054076,0.6591728084034107,74.7398496457697,-2572373.7440010905
1997-01-17,2012-01-17,776.1699829101562,1293.6700439453125,1.6667354734524156,0.6547903161835182,74.7398496457697,-2572373.7440010905
1997-01-20,2012-01-20,776.7000122070312,1315.3800048828125,1.6935496127328433,0.6537189333989013,74.7398496457697,-2422164.5236997893
1997-01-21,2012-01-23,782.719970703125,1316.0,1.6813164979268695,0.6528673301461345,74.7398496457697,-2430395.95142933
1997-01-22,2012-01-23,786.22998046875,1316.0,1.6738105041674973,0.6525905103478151,74.7398496457697,-2430395.95142933
1997-01-23,2012-01-23,777.5599975585938,1316.0,1.6924738980040335,0.6456375927416294,74.7398496457697,-2430395.95142933
1997-01-24,2012-01-24,770.52001953125,1314.6500244140625,1.7061854216504808,0.6478754816035299,74.7398496457697,-2434230.6225633845
1997-01-27,2012-01-27,765.02001953125,1316.3299560546875,1.7206477248284837,0.648038148377268,74.7398496457697,-2379306.8997110557
1997-01-28,2012-01-30,765.02001953125,1313.010009765625,1.7163080393244408,0.6341487789942213,74.7398496457697,-2469968.5912126303
1997-01-29,2012-01-30,772.5,1313.010009765625,1.6996893330299352,0.6341487789942213,74.7398496457697,-2469968.5912126303
1997-01-30,2012-01-30,784.1699829101562,1313.010009765625,1.6743946317517473,0.6302423183433329,74.7398496457697,-2469968.5912126303
