investment_start_date,total_profit,dayofweek
1965-07-01 00:00:00,1064.5899658203125,3
1965-07-02 00:00:00,1065.8900146484375,4
1965-07-05 00:00:00,1049.0699462890625,0
1965-07-06 00:00:00,1046.97998046875,1
1965-07-07 00:00:00,1037.52001953125,2
1965-07-08 00:00:00,1038.449951171875,3
1965-07-09 00:00:00,1032.949951171875,4
1965-07-12 00:00:00,1020.489990234375,0
1965-07-13 00:00:00,1026.77001953125,1
1965-07-14 00:00:00,1033.1400146484375,2
1965-07-15 00:00:00,1024.6800537109375,3
1965-07-16 00:00:00,1037.969970703125,4
1965-07-19 00:00:00,1037.52001953125,0
1965-07-21 00:00:00,1045.68994140625,2
1965-07-22 00:00:00,1036.0699462890625,3
1965-07-23 00:00:00,1027.8499755859375,4
1965-07-26 00:00:00,1034.3399658203125,0
1965-07-27 00:00:00,1052.06005859375,1
1965-07-28 00:00:00,1066.18994140625,2
1965-07-29 00:00:00,1085.4100341796875,3
1965-07-30 00:00:00,1097.199951171875,4
1965-08-02 00:00:00,1120.5899658203125,0
1965-08-03 00:00:00,1111.68994140625,1
1965-08-04 00:00:00,1135.31005859375,2
1965-08-05 00:00:00,1153.7099609375,3
1965-08-06 00:00:00,1145.8699951171875,4
1965-08-09 00:00:00,1150.5699462890625,0
1965-08-10 00:00:00,1133.0,1
1965-08-11 00:00:00,1122.0899658203125,2
1965-08-12 00:00:00,1130.3299560546875,3
1965-08-13 00:00:00,1146.6600341796875,4
1965-08-16 00:00:00,1158.3499755859375,0
1965-08-17 00:00:00,1151.77001953125,1
1965-08-18 00:00:00,1157.02001953125,2
1965-08-19 00:00:00,1168.6199951171875,3
1965-08-20 00:00:00,1165.81005859375,4
1965-08-23 00:00:00,1170.9200439453125,0
1965-08-24 00:00:00,1183.3399658203125,1
1965-08-25 00:00:00,1198.9100341796875,2
1965-08-26 00:00:00,1198.3800048828125,3
1965-08-27 00:00:00,1214.949951171875,4
1965-08-30 00:00:00,1245.489990234375,0
1965-08-31 00:00:00,1255.5799560546875,1
1965-09-01 00:00:00,1249.719970703125,2
1965-09-02 00:00:00,1240.0699462890625,3
1965-09-03 00:00:00,1256.219970703125,4
1965-09-06 00:00:00,1235.780029296875,0
1965-09-07 00:00:00,1239.97998046875,1
1965-09-08 00:00:00,1260.02001953125,2
1965-09-09 00:00:00,1277.1500244140625,3
1965-09-10 00:00:00,1273.22998046875,4
1965-09-13 00:00:00,1250.2900390625,0
1965-09-14 00:00:00,1250.0999755859375,1
1965-09-16 00:00:00,1242.949951171875,3
1965-09-17 00:00:00,1266.4000244140625,4
1965-09-20 00:00:00,1271.760009765625,0
1965-09-21 00:00:00,1253.25,1
1965-09-22 00:00:00,1252.1600341796875,2
1965-09-24 00:00:00,1243.4000244140625,4
1965-09-27 00:00:00,1233.4100341796875,0
1965-09-28 00:00:00,1251.8800048828125,1
1965-09-29 00:00:00,1235.81005859375,2
1965-09-30 00:00:00,1223.739990234375,3
1965-10-01 00:00:00,1210.1099853515625,4
1965-10-04 00:00:00,1204.47998046875,0
1965-10-05 00:00:00,1191.8900146484375,1
1965-10-06 00:00:00,1201.9000244140625,2
1965-10-07 00:00:00,1207.4599609375,3
1965-10-08 00:00:00,1198.1099853515625,4
1965-10-12 00:00:00,1233.77001953125,1
1965-10-13 00:00:00,1258.3399658203125,2
1965-10-14 00:00:00,1243.550048828125,3
1965-10-15 00:00:00,1253.8699951171875,4
1965-10-18 00:00:00,1248.8399658203125,0
1965-10-19 00:00:00,1253.3399658203125,1
1965-10-20 00:00:00,1242.77001953125,2
1965-10-21 00:00:00,1242.239990234375,3
1965-10-22 00:00:00,1240.8599853515625,4
1965-10-25 00:00:00,1222.8299560546875,0
1965-10-26 00:00:00,1234.739990234375,1
1965-10-27 00:00:00,1247.4200439453125,2
1965-10-28 00:00:00,1250.3699951171875,3
1965-10-29 00:00:00,1250.6800537109375,4
1965-11-01 00:00:00,1268.0,0
1965-11-02 00:00:00,1264.5999755859375,1
1965-11-04 00:00:00,1268.6400146484375,3
1965-11-05 00:00:00,1262.800048828125,4
1965-11-08 00:00:00,1284.31005859375,0
1965-11-09 00:00:00,1295.4200439453125,1
1965-11-10 00:00:00,1300.969970703125,2
1965-11-11 00:00:00,1304.9000244140625,3
1965-11-12 00:00:00,1323.1099853515625,4
1965-11-15 00:00:00,1304.219970703125,0
1965-11-16 00:00:00,1319.8699951171875,1
1965-11-17 00:00:00,1313.81005859375,2
1965-11-18 00:00:00,1340.469970703125,3
1965-11-19 00:00:00,1329.280029296875,4
1965-11-22 00:00:00,1343.6700439453125,0
1965-11-24 00:00:00,1354.4200439453125,2
1965-11-25 00:00:00,1325.56005859375,3
1965-11-26 00:00:00,1335.9300537109375,4
1965-11-29 00:00:00,1359.81005859375,0
1965-11-30 00:00:00,1373.1600341796875,1
1965-12-01 00:00:00,1377.6700439453125,2
1965-12-02 00:00:00,1409.0699462890625,3
1965-12-03 00:00:00,1376.56005859375,4
1965-12-06 00:00:00,1315.260009765625,0
1965-12-07 00:00:00,1349.300048828125,1
1965-12-08 00:00:00,1357.780029296875,2
1965-12-09 00:00:00,1330.0799560546875,3
1965-12-10 00:00:00,1334.93994140625,4
1965-12-13 00:00:00,1340.050048828125,0
1965-12-14 00:00:00,1347.8299560546875,1
1965-12-15 00:00:00,1362.81005859375,2
1965-12-16 00:00:00,1373.6199951171875,3
1965-12-17 00:00:00,1369.8399658203125,4
1965-12-20 00:00:00,1367.4200439453125,0
1965-12-21 00:00:00,1364.969970703125,1
1965-12-22 00:00:00,1373.7900390625,2
1965-12-24 00:00:00,1389.2900390625,4
1965-12-27 00:00:00,1412.77001953125,0
1965-12-28 00:00:00,1417.8299560546875,1
1965-12-29 00:00:00,1417.8299560546875,2
1965-12-30 00:00:00,1417.8299560546875,3
1966-01-04 00:00:00,1430.1300048828125,1
1966-01-05 00:00:00,1414.8699951171875,2
1966-01-06 00:00:00,1434.93994140625,3
1966-01-07 00:00:00,1428.530029296875,4
1966-01-11 00:00:00,1410.4300537109375,1
1966-01-12 00:00:00,1418.4599609375,2
1966-01-13 00:00:00,1416.25,3
1966-01-14 00:00:00,1416.1199951171875,4
1966-01-17 00:00:00,1421.0999755859375,0
1966-01-18 00:00:00,1414.010009765625,1
1966-01-19 00:00:00,1414.550048828125,2
1966-01-20 00:00:00,1421.56005859375,3
1966-01-21 00:00:00,1435.3399658203125,4
1966-01-24 00:00:00,1451.6800537109375,0
1966-01-25 00:00:00,1445.3399658203125,1
1966-01-26 00:00:00,1457.18994140625,2
1966-01-27 00:00:00,1454.760009765625,3
1966-01-28 00:00:00,1465.8299560546875,4
1966-01-31 00:00:00,1470.3800048828125,0
1966-02-01 00:00:00,1485.239990234375,1
1966-02-02 00:00:00,1492.4200439453125,2
1966-02-03 00:00:00,1482.699951171875,3
1966-02-04 00:00:00,1487.0899658203125,4
1966-02-07 00:00:00,1498.8900146484375,0
1966-02-08 00:00:00,1503.9100341796875,1
1966-02-09 00:00:00,1505.699951171875,2
1966-02-10 00:00:00,1489.1099853515625,3
1966-02-14 00:00:00,1464.27001953125,0
1966-02-15 00:00:00,1453.0999755859375,1
1966-02-16 00:00:00,1464.6700439453125,2
1966-02-17 00:00:00,1442.02001953125,3
1966-02-18 00:00:00,1459.6300048828125,4
1966-02-21 00:00:00,1465.7900390625,0
1966-02-22 00:00:00,1465.4200439453125,1
1966-02-23 00:00:00,1480.469970703125,2
1966-02-24 00:00:00,1490.780029296875,3
1966-02-25 00:00:00,1491.760009765625,4
1966-02-28 00:00:00,1507.4100341796875,0
1966-03-01 00:00:00,1520.7099609375,1
1966-03-02 00:00:00,1514.6199951171875,2
1966-03-03 00:00:00,1517.8399658203125,3
1966-03-04 00:00:00,1524.989990234375,4
1966-03-07 00:00:00,1533.75,0
1966-03-08 00:00:00,1545.780029296875,1
1966-03-09 00:00:00,1542.719970703125,2
1966-03-10 00:00:00,1529.9300537109375,3
1966-03-11 00:00:00,1512.18994140625,4
1966-03-14 00:00:00,1535.0400390625,0
1966-03-15 00:00:00,1540.5899658203125,1
1966-03-16 00:00:00,1560.0899658203125,2
1966-03-17 00:00:00,1551.25,3
1966-03-18 00:00:00,1558.77001953125,4
1966-03-22 00:00:00,1568.280029296875,1
1966-03-23 00:00:00,1562.6500244140625,2
1966-03-24 00:00:00,1571.8299560546875,3
1966-03-25 00:00:00,1550.2099609375,4
1966-03-28 00:00:00,1566.5999755859375,0
1966-03-29 00:00:00,1579.5699462890625,1
1966-03-30 00:00:00,1577.1300048828125,2
1966-03-31 00:00:00,1584.280029296875,3
1966-04-01 00:00:00,1588.72998046875,4
1966-04-04 00:00:00,1573.8699951171875,0
1966-04-05 00:00:00,1573.0699462890625,1
1966-04-06 00:00:00,1564.6600341796875,2
1966-04-07 00:00:00,1540.4599609375,3
1966-04-08 00:00:00,1548.0,4
1966-04-11 00:00:00,1536.8800048828125,0
1966-04-12 00:00:00,1551.510009765625,1
1966-04-13 00:00:00,1555.7099609375,2
1966-04-14 00:00:00,1537.9000244140625,3
1966-04-15 00:00:00,1535.199951171875,4
1966-04-18 00:00:00,1531.530029296875,0
1966-04-19 00:00:00,1508.0400390625,1
1966-04-20 00:00:00,1486.9300537109375,2
1966-04-21 00:00:00,1502.800048828125,3
1966-04-22 00:00:00,1503.0899658203125,4
1966-04-25 00:00:00,1530.1600341796875,0
1966-04-26 00:00:00,1523.0,1
1966-04-27 00:00:00,1557.0699462890625,2
1966-04-28 00:00:00,1553.6800537109375,3
1966-05-02 00:00:00,1565.550048828125,0
1966-05-06 00:00:00,1581.5799560546875,4
1966-05-09 00:00:00,1572.93994140625,0
1966-05-10 00:00:00,1568.3699951171875,1
1966-05-11 00:00:00,1575.2900390625,2
1966-05-12 00:00:00,1582.72998046875,3
1966-05-13 00:00:00,1571.0999755859375,4
1966-05-16 00:00:00,1558.1500244140625,0
1966-05-17 00:00:00,1559.6700439453125,1
1966-05-18 00:00:00,1564.93994140625,2
1966-05-19 00:00:00,1556.8399658203125,3
1966-05-20 00:00:00,1552.75,4
1966-05-23 00:00:00,1561.1400146484375,0
1966-05-24 00:00:00,1574.06005859375,1
1966-05-25 00:00:00,1568.9300537109375,2
1966-05-26 00:00:00,1572.969970703125,3
1966-05-27 00:00:00,1550.06005859375,4
1966-05-30 00:00:00,1512.6300048828125,0
1966-05-31 00:00:00,1514.1500244140625,1
1966-06-01 00:00:00,1490.8499755859375,2
1966-06-02 00:00:00,1502.6700439453125,3
1966-06-03 00:00:00,1517.81005859375,4
1966-06-06 00:00:00,1524.5,0
1966-06-07 00:00:00,1516.9000244140625,1
1966-06-08 00:00:00,1511.800048828125,2
1966-06-09 00:00:00,1507.030029296875,3
1966-06-10 00:00:00,1515.010009765625,4
1966-06-13 00:00:00,1526.5,0
1966-06-14 00:00:00,1543.0999755859375,1
1966-06-15 00:00:00,1545.77001953125,2
1966-06-16 00:00:00,1530.3499755859375,3
1966-06-17 00:00:00,1519.4200439453125,4
1966-06-20 00:00:00,1514.93994140625,0
1966-06-21 00:00:00,1522.7099609375,1
1966-06-22 00:00:00,1513.949951171875,2
1966-06-23 00:00:00,1504.1400146484375,3
1966-06-24 00:00:00,1513.3800048828125,4
1966-06-27 00:00:00,1521.0,0
1966-06-28 00:00:00,1510.1400146484375,1
1966-06-29 00:00:00,1514.52001953125,2
1966-06-30 00:00:00,1494.9000244140625,3
1966-07-01 00:00:00,1509.1600341796875,4
1966-07-04 00:00:00,1532.6600341796875,0
1966-07-05 00:00:00,1525.56005859375,1
1966-07-06 00:00:00,1512.780029296875,2
1966-07-07 00:00:00,1524.949951171875,3
1966-07-08 00:00:00,1507.1099853515625,4
1966-07-11 00:00:00,1480.5,0
1966-07-12 00:00:00,1451.9200439453125,1
1966-07-13 00:00:00,1443.8299560546875,2
1966-07-14 00:00:00,1445.8499755859375,3
1966-07-15 00:00:00,1465.2099609375,4
1966-07-18 00:00:00,1434.6800537109375,0
1966-07-19 00:00:00,1460.550048828125,1
1966-07-21 00:00:00,1472.3299560546875,3
1966-07-22 00:00:00,1475.3900146484375,4
1966-07-25 00:00:00,1470.97998046875,0
1966-07-26 00:00:00,1468.22998046875,1
1966-07-27 00:00:00,1486.010009765625,2
1966-07-28 00:00:00,1486.02001953125,3
1966-07-29 00:00:00,1499.0,4
1966-08-01 00:00:00,1495.8800048828125,0
1966-08-02 00:00:00,1494.0400390625,1
1966-08-03 00:00:00,1490.7900390625,2
1966-08-04 00:00:00,1479.0799560546875,3
1966-08-05 00:00:00,1479.8499755859375,4
1966-08-08 00:00:00,1475.050048828125,0
1966-08-09 00:00:00,1487.6199951171875,1
1966-08-10 00:00:00,1486.6099853515625,2
1966-08-11 00:00:00,1483.5799560546875,3
1966-08-12 00:00:00,1486.3800048828125,4
1966-08-15 00:00:00,1496.93994140625,0
1966-08-16 00:00:00,1497.3499755859375,1
1966-08-17 00:00:00,1494.1300048828125,2
1966-08-18 00:00:00,1486.2099609375,3
1966-08-19 00:00:00,1466.4300537109375,4
1966-08-22 00:00:00,1463.68994140625,0
1966-08-23 00:00:00,1469.550048828125,1
1966-08-24 00:00:00,1450.6099853515625,2
1966-08-25 00:00:00,1456.239990234375,3
1966-08-26 00:00:00,1459.0,4
1966-08-29 00:00:00,1456.6300048828125,0
1966-08-30 00:00:00,1468.2900390625,1
1966-08-31 00:00:00,1463.0400390625,2
1966-09-01 00:00:00,1472.8599853515625,3
1966-09-02 00:00:00,1470.949951171875,4
1966-09-05 00:00:00,1456.77001953125,0
1966-09-06 00:00:00,1453.3199462890625,1
1966-09-07 00:00:00,1441.239990234375,2
1966-09-08 00:00:00,1449.8800048828125,3
1966-09-09 00:00:00,1436.1500244140625,4
1966-09-12 00:00:00,1442.3699951171875,0
1966-09-13 00:00:00,1440.6199951171875,1
1966-09-14 00:00:00,1431.239990234375,2
1966-09-16 00:00:00,1422.1700439453125,4
1966-09-19 00:00:00,1435.8900146484375,0
1966-09-20 00:00:00,1454.3599853515625,1
1966-09-21 00:00:00,1451.47998046875,2
1966-09-22 00:00:00,1461.43994140625,3
1966-09-26 00:00:00,1467.68994140625,0
1966-09-27 00:00:00,1471.1500244140625,1
1966-09-28 00:00:00,1466.760009765625,2
1966-09-29 00:00:00,1464.5899658203125,3
1966-09-30 00:00:00,1464.5899658203125,4
1966-10-03 00:00:00,1469.239990234375,0
1966-10-04 00:00:00,1459.3299560546875,1
1966-10-05 00:00:00,1461.5999755859375,2
1966-10-06 00:00:00,1450.3399658203125,3
1966-10-07 00:00:00,1444.8900146484375,4
1966-10-11 00:00:00,1442.219970703125,1
1966-10-12 00:00:00,1436.7099609375,2
1966-10-13 00:00:00,1445.030029296875,3
1966-10-14 00:00:00,1448.1700439453125,4
1966-10-17 00:00:00,1432.9200439453125,0
1966-10-18 00:00:00,1432.9200439453125,1
1966-10-19 00:00:00,1433.4599609375,2
1966-10-20 00:00:00,1426.989990234375,3
1966-10-21 00:00:00,1420.260009765625,4
1966-10-24 00:00:00,1413.780029296875,0
1966-10-25 00:00:00,1418.56005859375,1
1966-10-26 00:00:00,1412.199951171875,2
1966-10-27 00:00:00,1408.0899658203125,3
1966-10-28 00:00:00,1430.0400390625,4
1966-10-31 00:00:00,1441.02001953125,0
